"title","cbo","average_salary","workers","soc_title","oes","oes_top","exposed_to_disease_or_infections","physical_proximity","contact_with_others","score","group","group_color"
"Degustador de derivados de cacau","848415","1192.22","93","Graders and Sorters, Agricultural Products","452041","45","7","84","65","52","Agropecuária e pesca","#10540a"
"Degustador de vinhos ou licores","848420","1658.24","359","Inspectors, Testers, Sorters, Samplers, and Weighers","519061","51","4","65","85","51.333333333333336","Indústria","#314b6b"
"Delegado de polícia","242305","21671.06","11829","Detectives and Criminal Investigators","333021","33","2","49","85","45.333333333333336","Serviços","#d051f0"
"Demolidor de edificações","717005","1550.57","1325","Construction Laborers","472061","47","10","73","91","58","Construção e Extração","#8a8a8a"
"Demonstrador de mercadorias","521120","1539.85","28451","Demonstrators and Product Promoters","419011","41","0","67","96","54.333333333333336","Comércio","#abf051"
"Descarnador de couros e peles, à maquina","762110","1844.10","590","Production Workers, All Other","519199","51","23","58","76","52.333333333333336","Indústria","#314b6b"
"Desenhista copista","318010","2493.93","2835","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista detalhista","318015","4465.69","3319","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista industrial de produto (designer de produto)","262420","4066.50","1912","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista industrial de produto de moda (designer de moda)","262425","3930.84","4188","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista industrial gráfico (designer gráfico)","262410","3093.50","21417","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista projetista de arquitetura","318505","3032.40","4995","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista projetista de construção civil","318510","3177.74","6479","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista projetista de eletricidade","318705","3575.92","2922","Electrical and Electronics Drafters","173012","17","1","47","78","42","Ciências, Engenharia e Computação","#8debe0"
"Desenhista projetista de máquinas","318605","4585.39","3460","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista projetista eletrônico","318710","4074.25","724","Electrical and Electronics Drafters","173012","17","1","47","78","42","Ciências, Engenharia e Computação","#8debe0"
"Desenhista projetista mecânico","318610","4906.85","11297","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico","318005","3366.71","6861","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (arquitetura)","318105","2573.99","3193","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (artes gráficas)","318405","2238.63","6241","Graphic Designers","271024","27","0","34","76","36.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico (calefação, ventilação e refrigeração)","318310","2815.73","285","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (cartografia)","318110","3210.30","826","Surveying and Mapping Technicians","173031","17","2","50","75","42.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (construção civil)","318115","2694.74","1152","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (eletricidade e eletrônica)","318305","2591.74","616","Electrical and Electronics Drafters","173012","17","1","47","78","42","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (ilustrações artísticas)","318410","3054.95","367","Fine Artists, Including Painters, Sculptors, and Illustrators","271013","27","0","9","51","20","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico (ilustrações técnicas)","318415","2724.52","272","Fine Artists, Including Painters, Sculptors, and Illustrators","271013","27","0","9","51","20","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico (indústria têxtil)","318420","2656.58","1127","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico (instalações hidrossanitárias)","318120","2893.27","106","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico (mobiliário)","318425","2260.13","695","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico aeronáutico","318210","3217.66","28","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico de embalagens, maquetes e leiautes","318430","3554.06","757","Commercial and Industrial Designers","271021","27","0","49","85","44.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Desenhista técnico mecânico","318205","3497.13","2213","Mechanical Drafters","173013","17","0","50","68","39.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Desenhista técnico naval","318215","6536.90","103","Architectural and Civil Drafters","173011","17","1","47","69","39","Ciências, Engenharia e Computação","#8debe0"
"Desidratador de alimentos","841432","1541.26","197","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","513091","51","6","35","74","38.333333333333336","Indústria","#314b6b"
"Designer de interiores","375105","2392.98","2380","Interior Designers","271025","27","7","53","87","49","Artes, Entretenimento e Mídia","#9e8b75"
"Designer de vitrines","375110","2173.24","2164","Merchandise Displayers and Window Trimmers","271026","27","2","67","89","52.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Designer educacional","239435","3944.29","1251","Instructional Coordinators","259031","25","1","48","75","41.333333333333336","Educação","#deb147"
"Desossador","848515","1819.02","24759","Meat, Poultry, and Fish Cutters and Trimmers","513022","51","25","85","46","52","Indústria","#314b6b"
"Despachante aduaneiro","342210","3500.49","1002","Business Operations Specialists, All Other","131199","13","0","47","80","42.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Despachante de trânsito","423110","1665.78","754","Office Clerks, General","439061","43","28","64","93","61.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Despachante de transportes coletivos (exceto trem)","511210","1947.87","15626","Dispatchers, Except Police, Fire, and Ambulance","435032","43","9","58","97","54.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Despachante documentalista","423105","1736.52","7391","Office Clerks, General","439061","43","28","64","93","61.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Despachante operacional de vôo","342510","4343.26","1731","Air Traffic Controllers","532021","53","7","82","93","60.666666666666664","Transportes","#f7b78f"
"Dessecador de malte","841735","1565.87","20","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","513091","51","6","35","74","38.333333333333336","Indústria","#314b6b"
"Destilador de madeira","811405","2272.62","90","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","519012","51","5","48","55","36","Indústria","#314b6b"
"Destilador de produtos químicos (exceto petróleo)","811410","2951.69","948","Chemical Plant and System Operators","518091","51","8","64","84","52","Indústria","#314b6b"
"Destroçador de pedra","711115","1527.34","1792","Rock Splitters, Quarry","475051","47","0","43","55","32.666666666666664","Construção e Extração","#8a8a8a"
"Detetive profissional","351805","2354.90","1020","Private Detectives and Investigators","339021","33","8","51","83","47.333333333333336","Serviços","#d051f0"
"Detonador","711120","2686.33","2090","Explosives Workers, Ordnance Handling Experts, and Blasters","475031","47","4","66","85","51.666666666666664","Construção e Extração","#8a8a8a"
"Dietista","223705","2054.47","1172","Dietitians and Nutritionists","291031","29","79","69","87","78.33333333333333","Saúde","#e03a3a"
"Digitador","412110","1826.25","30940","Data Entry Keyers","439021","43","11","57","81","49.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor administrativo","123105","8693.74","50138","Administrative Services Managers","113011","11","23","45","88","52","Negócios, Finanças e Gestão","#343deb"
"Diretor administrativo e financeiro","123110","13653.78","10522","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor artistíco","262235","5517.20","21","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor comercial","123305","26303.51","10691","Sales Managers","112022","11","3","48","96","49","Negócios, Finanças e Gestão","#343deb"
"Diretor comercial em operações de intermediação financeira","122705","21773.75","624","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de  produção e operações de alimentação","122505","13257.17","449","Food Service Managers","119051","11","10","78","97","61.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de  produção e operações de hotel","122510","12109.61","81","Lodging Managers","119081","11","4","49","97","50","Negócios, Finanças e Gestão","#343deb"
"Diretor de  produção e operações de turismo","122515","5873.25","211","Lodging Managers","119081","11","4","49","97","50","Negócios, Finanças e Gestão","#343deb"
"Diretor de arte","262330","4640.17","2568","Art Directors","271011","27","0","59","87","48.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de arte (publicidade)","253125","4878.77","2070","Advertising and Promotions Managers","112011","11","1","46","92","46.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de câmbio e comércio exterior","122720","27819.92","43","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de cinema","262205","4955.70","131","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de compliance","122725","24499.42","364","Managers, All Other","119199","11","0","41","75","38.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de contas (publicidade)","253135","11508.02","499","Advertising and Promotions Managers","112011","11","1","46","92","46.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de crédito (exceto crédito imobiliário)","122730","27002.29","49","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de crédito imobiliário","122735","6734.10","45","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de crédito rural","122715","3242.50","25","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de criação","253130","9581.78","390","Advertising and Promotions Managers","112011","11","1","46","92","46.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de fotografia","372105","6746.79","171","Camera Operators, Television, Video, and Motion Picture","274031","27","4","68","93","55","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de imagens (tv)","374425","6078.93","278","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de instituição educacional da área privada","131305","6889.96","16144","Education Administrators, All Other","119039","11","1","47","89","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de instituição educacional pública","131310","4719.36","27859","Education Administrators, All Other","119039","11","1","47","89","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de leasing","122740","5049.36","39","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de manutenção","123805","10885.30","1696","General and Operations Managers","111021","11","14","55","95","54.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de marketing","123310","24903.20","2085","Marketing Managers","112021","11","2","47","90","46.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de mercado de capitais","122745","31957.66","67","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações comerciais (comércio atacadista e varejista)","122405","17636.03","1301","Sales Managers","112022","11","3","48","96","49","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações de correios","122605","7839.35","110","Postmasters and Mail Superintendents","119131","11","17","56","99","57.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações de obras pública e civil","122305","8468.34","2574","Construction Managers","119021","11","4","50","92","48.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações de serviços de armazenamento","122610","17844.31","280","Transportation, Storage, and Distribution Managers","113071","11","2","42","85","43","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações de serviços de telecomunicações","122615","14341.66","927","Computer and Information Systems Managers","113021","11","1","41","90","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de operações de serviços de transporte","122620","11555.74","1009","Transportation, Storage, and Distribution Managers","113071","11","2","42","85","43","Negócios, Finanças e Gestão","#343deb"
"Diretor de pesquisa e desenvolvimento (p&d)","123705","25791.93","1388","Managers, All Other","119199","11","0","41","75","38.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de planejamento estratégico","121005","10904.70","4317","Chief Executives","111011","11","3","43","85","43.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de produção","262230","9507.43","71","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades","122205","31287.97","1506","Industrial Production Managers","113051","11","2","38","85","41.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de produção e operações em empresa agropecuária","122105","16527.20","436","Farmers, Ranchers, and Other Agricultural Managers","119013","11","4","51","77","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de produção e operações em empresa aqüícola","122110","17998.60","57","Farmers, Ranchers, and Other Agricultural Managers","119013","11","4","51","77","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de produção e operações em empresa florestal","122115","20338.36","83","Farmers, Ranchers, and Other Agricultural Managers","119013","11","4","51","77","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de produção e operações em empresa pesqueira","122120","8492.15","15","Farmers, Ranchers, and Other Agricultural Managers","119013","11","4","51","77","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de produtos bancários","122710","39427.98","410","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de programação","262225","12065.54","29","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de programas de rádio","262210","3581.77","256","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de programas de televisão","262215","21905.54","523","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de recuperação de créditos em operações de intermediação financeira","122750","12323.42","50","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de recursos humanos","123205","20504.09","2565","Human Resources Managers","113121","11","5","41","91","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de redação","261115","10650.18","972","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Diretor de relações de trabalho","123210","8615.98","366","Human Resources Managers","113121","11","5","41","91","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de riscos de mercado","122755","32983.67","213","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de serviços culturais","131105","7110.70","1957","Curators","254012","25","5","44","83","44","Educação","#deb147"
"Diretor de serviços de informática","123605","19194.01","2826","Computer and Information Systems Managers","113021","11","1","41","90","44","Negócios, Finanças e Gestão","#343deb"
"Diretor de serviços de saúde","131205","7519.74","6976","Medical and Health Services Managers","119111","11","34","45","87","55.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de serviços sociais","131110","3862.94","2178","Social and Community Service Managers","119151","11","26","42","92","53.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor de suprimentos","123405","21901.94","1289","Purchasing Managers","113061","11","1","41","89","43.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor de suprimentos no serviço público","123410","3023.04","835","Purchasing Managers","113061","11","1","41","89","43.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor financeiro","123115","15489.00","6827","Financial Managers","113031","11","4","35","82","40.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Diretor geral de empresa e organizações (exceto de interesse público)","121010","16251.86","21522","Chief Executives","111011","11","3","43","85","43.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Diretor teatral","262220","10707.14","636","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Dirigente de partido político","114105","3604.98","150","Social and Human Service Assistants","211093","21","58","79","99","78.66666666666667","Jurídico e Serviço Social","#4acc3b"
"Dirigente e administrador de organização da sociedade civil sem fins lucrativos","114405","6572.17","1002","Social and Community Service Managers","119151","11","26","42","92","53.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Dirigente e administrador de organização religiosa","114305","6840.31","416","Directors, Religious Activities and Education","212021","21","13","48","95","52","Jurídico e Serviço Social","#4acc3b"
"Dirigentes de entidades de trabalhadores","114205","4792.38","2797","Managers, All Other","119199","11","0","41","75","38.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Dirigentes de entidades patronais","114210","5633.04","220","Managers, All Other","119199","11","0","41","75","38.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Dj (disc jockey)","374145","1944.27","193","Public Address System and Other Announcers","273012","27","2","71","85","52.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Documentalista","261210","4839.67","4304","Archivists","254011","25","2","44","74","40","Educação","#deb147"
"Domador de animais (circense)","376225","1736.95","85","Animal Trainers","392011","39","18","62","81","53.666666666666664","Serviços","#d051f0"
"Doula","322135","1324.30","25","Nurse Midwives","291161","29","89","97","95","93.66666666666667","Saúde","#e03a3a"
"Drageador (medicamentos)","811810","2152.82","1423","Production Workers, All Other","519199","51","23","58","76","52.333333333333336","Indústria","#314b6b"
"Dramaturgo de dança","262820","1170.46","5","Choreographers","272032","27","3","100","87","63.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Economista","251205","12342.38","7151","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista agroindustrial","251210","5151.80","594","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista ambiental","251230","6631.45","501","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista do setor público","251225","5997.12","9713","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista doméstico","251610","7095.25","409","Farm and Home Management Advisors","259021","25","14","43","88","48.333333333333336","Educação","#deb147"
"Economista financeiro","251215","5753.72","20988","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista industrial","251220","6454.48","2216","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Economista regional e urbano","251235","6057.01","187","Economists","193011","19","0","29","59","29.333333333333332","Ciências, Engenharia e Computação","#8debe0"
"Editor","261120","5792.80","8847","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de jornal","261605","6320.76","838","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de livro","261610","8039.39","758","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de mídia audiovisual","374405","2706.88","4443","Film and Video Editors","274032","27","2","49","81","44","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de mídia eletrônica","261615","3240.95","1125","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de revista","261620","8289.00","322","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de revista científica","261625","4626.37","25","Editors","273041","27","0","54","89","47.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Editor de texto e imagem","766120","2492.06","10228","Desktop Publishers","439031","43","2","45","81","42.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Educador social","515305","1985.28","28424","Child, Family, and School Social Workers","211021","21","37","56","99","64","Jurídico e Serviço Social","#4acc3b"
"Eletricista de bordo","341315","5940.93","373","Motorboat Mechanics and Service Technicians","493051","49","18","64","83","55","Serviços","#d051f0"
"Eletricista de instalações","715615","2269.78","91066","Electricians","472111","47","11","75","90","58.666666666666664","Construção e Extração","#8a8a8a"
"Eletricista de instalações (aeronaves)","953105","5768.98","857","Avionics Technicians","492091","49","3","66","77","48.666666666666664","Serviços","#d051f0"
"Eletricista de instalações (cenários)","715605","2418.27","1070","Electricians","472111","47","11","75","90","58.666666666666664","Construção e Extração","#8a8a8a"
"Eletricista de instalações (edifícios)","715610","2256.27","20687","Electricians","472111","47","11","75","90","58.666666666666664","Construção e Extração","#8a8a8a"
"Eletricista de instalações (embarcações)","953110","5728.30","620","Electrical and Electronics Installers and Repairers, Transportation Equipment","492093","49","4","54","76","44.666666666666664","Serviços","#d051f0"
"Eletricista de instalações (veículos automotores e máquinas operatrizes, exceto aeronaves e embarcações)","953115","2313.82","28488","Electronic Equipment Installers and Repairers, Motor Vehicles","492096","49","3","58","67","42.666666666666664","Serviços","#d051f0"
"Eletricista de manutenção de linhas elétricas, telefônicas e de comunicação de dados","732105","3058.46","30856","Electrical Power-Line Installers and Repairers","499051","49","10","73","82","55","Serviços","#d051f0"
"Eletricista de manutenção eletroeletrônica","951105","3281.62","101570","Electrical and Electronics Repairers, Commercial and Industrial Equipment","492094","49","2","64","89","51.666666666666664","Serviços","#d051f0"
"Eletromecânico de manutenção de elevadores","954105","3089.49","4567","Elevator Installers and Repairers","474021","47","50","64","77","63.666666666666664","Construção e Extração","#8a8a8a"
"Eletromecânico de manutenção de escadas rolantes","954110","2522.71","76","Elevator Installers and Repairers","474021","47","50","64","77","63.666666666666664","Construção e Extração","#8a8a8a"
"Eletromecânico de manutenção de portas automáticas","954115","2239.73","205","Mechanical Door Repairers","499011","49","7","73","85","55","Serviços","#d051f0"
"Eletrotécnico","313105","4589.34","27096","Electrical and Electronics Engineering Technicians","173023","17","2","54","75","43.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Eletrotécnico (produção de energia)","313110","6912.36","4378","Electrical and Electronics Engineering Technicians","173023","17","2","54","75","43.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos","313115","4139.94","21858","Coil Winders, Tapers, and Finishers","512021","51","2","58","66","42","Indústria","#314b6b"
"Embalador, a mão","784105","1262.24","178297","Packers and Packagers, Hand","537064","53","5","70","79","51.333333333333336","Transportes","#f7b78f"
"Embalador, a máquina","784110","1752.71","35089","Packaging and Filling Machine Operators and Tenders","519111","51","4","59","85","49.333333333333336","Indústria","#314b6b"
"Embalsamador","328105","4566.96","1022","Embalmers","394011","39","83","64","97","81.33333333333333","Serviços","#d051f0"
"Emendador de cabos elétricos e telefônicos (aéreos e subterrâneos)","732110","2126.13","15702","Electrical Power-Line Installers and Repairers","499051","49","10","73","82","55","Serviços","#d051f0"
"Emissor de passagens","421120","1892.09","12844","Reservation and Transportation Ticket Agents and Travel Clerks","434181","43","12","81","100","64.33333333333333","Negócios, Finanças e Gestão","#343deb"
"Encanador","724110","2298.09","56357","Plumbers, Pipefitters, and Steamfitters","472152","47","21","60","79","53.333333333333336","Construção e Extração","#8a8a8a"
"Encarregado de acabamento de chapas e metais  (têmpera)","821405","3438.99","11609","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","514023","51","1","59","84","48","Indústria","#314b6b"
"Encarregado de corte na confecção do vestuário","760305","2407.18","2989","First-Line Supervisors of Production and Operating Workers","511011","51","1","65","91","52.333333333333336","Indústria","#314b6b"
"Encarregado de costura na confecção do vestuário","760310","2184.80","9908","First-Line Supervisors of Production and Operating Workers","511011","51","1","65","91","52.333333333333336","Indústria","#314b6b"
"Encarregado de equipe de conservação de vias permanentes (exceto trilhos)","992210","2238.24","8588","Highway Maintenance Workers","474051","47","26","68","81","58.333333333333336","Construção e Extração","#8a8a8a"
"Encarregado de manutenção de instrumentos de controle, medição e similares","313415","3129.99","7898","Electrical and Electronics Engineering Technicians","173023","17","2","54","75","43.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Encarregado de manutenção elétrica de veículos","950205","3310.56","1935","Electronic Equipment Installers and Repairers, Motor Vehicles","492096","49","3","58","67","42.666666666666664","Serviços","#d051f0"
"Encarregado de manutenção mecânica de sistemas operacionais","910105","4616.92","20398","Industrial Machinery Mechanics","499041","49","15","72","83","56.666666666666664","Serviços","#d051f0"
"Encarregado geral de operações de conservação de vias permanentes (exceto trilhos)","992205","2187.16","13392","Highway Maintenance Workers","474051","47","26","68","81","58.333333333333336","Construção e Extração","#8a8a8a"
"Enfermeiro","223505","4924.10","288900","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro auditor","223510","4879.34","5480","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro da estratégia de saúde da família","223565","5943.19","4159","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro de bordo","223515","5933.40","138","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro de centro cirúrgico","223520","4117.29","1159","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro de terapia intensiva","223525","4741.16","1194","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro do trabalho","223530","4901.73","4097","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro nefrologista","223535","4659.91","627","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro neonatologista","223540","4365.12","332","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro obstétrico","223545","5308.73","2831","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro psiquiátrico","223550","4495.41","350","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro puericultor e pediátrico","223555","4195.20","396","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfermeiro sanitarista","223560","4219.25","1830","Registered Nurses","291141","29","80","77","88","81.66666666666667","Saúde","#e03a3a"
"Enfestador de roupas","763115","1551.43","3144","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","516091","51","3","55","86","48","Indústria","#314b6b"
"Engastador (jóias)","751005","2166.32","343","Jewelers and Precious Stone and Metal Workers","519071","51","0","42","61","34.333333333333336","Indústria","#314b6b"
"Engenheiro aeronáutico","214425","13215.10","3396","Aerospace Engineers","172011","17","0","50","81","43.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro agrícola","222105","8512.41","849","Agricultural Engineers","172021","17","5","45","76","42","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro agrimensor","214805","7046.02","479","Surveyors","171022","17","5","40","76","40.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro agrônomo","222110","10644.04","19778","Soil and Plant Scientists","191013","19","5","41","68","38","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro ambiental","214005","9940.39","2807","Environmental Engineers","172081","17","13","40","84","45.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro cartógrafo","214810","9399.88","312","Cartographers and Photogrammetrists","171021","17","0","54","80","44.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Engenheiro civil","214205","9858.60","50166","Civil Engineers","172051","17","4","45","77","42","Ciências, Engenharia e Computação","#8debe0"
